455,173,c1
340,60,c1
441,172,c2
353,115,c2
206,80,c2
190,217,c2
99,275,c2
191,313,c2
292,368,c2
269,505,c2
204,521,c2
456,189,c3
423,180,c3
430,156,c3
398,130,c3
335,126,c3
290,93,c3
243,86,c3
172,109,c3
95,169,c3
293,229,c3
141,204,c3
154,264,c3
225,289,c3
270,358,c3
117,486,c3
442,194,c4
305,113,c4
226,98,c4
148,316,c4
274,323,c4
318,399,c4
339,478,c4
275,546,c4
256,510,c4
181,533,c4
427,168,c5
323,68,c5
220,146,c5
191,137,c5
169,162,c5
174,209,c5
141,262,c5
161,307,c5
258,337,c5
298,351,c5
292,403,c5
294,513,c5
415,152,c7
387,154,c7
330,95,c7
173,121,c7
131,153,c7
185,90,c7
195,174,c7
255,186,c7
286,222,c7
167,249,c7
106,304,c7
223,301,c7
165,349,c7
307,335,c7
255,441,c7
200,426,c7
311,422,c7
367,444,c7
324,490,c7
281,558,c7
152,526,c7
46,426,c7
419,161,c6
363,173,c6
342,147,c6
348,93,c6
311,90,c6
246,104,c6
218,89,c6
146,115,c6
205,148,c6
120,148,c6
110,242,c6
98,320,c6
238,192,c6
212,318,c6
236,372,c6
252,399,c6
230,439,c6
309,378,c6
337,418,c6
418,142,c8
292,122,c8
242,74,c8
204,135,c8
187,109,c8
123,223,c8
196,192,c8
269,219,c8
292,221,c8
274,300,c8
197,350,c8
266,403,c8
339,380,c8
341,514,c8
275,519,c8
195,554,c8
376,143,c9
408,183,c10
195,237,c9
253,424,c10
297,430,c9
307,543,c10
401,166,c11
133,121,c11
89,229,c11
134,278,c11
304,231,c11
359,420,c11
211,438,c11
390,172,c12
315,356,c12
362,478,c12
111,503,c12
414,133,c13
405,120,c14
222,134,c14
136,165,c14
116,263,c14
301,445,c14
393,117,c15
366,102,c15
159,119,c15
125,191,c15
386,107,c16
268,92,c16
217,79,c16
177,114,c16
176,153,c16
106,215,c16
261,242,c16
228,312,c16
205,531,c16
347,168,c17
264,110,c17
154,131,c17
264,204,c17
206,331,c17
297,325,c17
213,423,c17
165,536,c17
352,83,c18
287,102,c18
212,107,c18
164,144,c18
208,290,c18
217,355,c18
221,415,c18
348,435,c18
305,474,c18
305,526,c18
229,537,c18
340,110,c19
362,77,c19
233,84,c19
143,182,c19
214,202,c19
164,229,c19
192,280,c19
254,320,c19
266,387,c19
207,418,c19
305,491,c19
132,504,c19
383,165,c20
304,96,c20
94,483,c20
356,129,c21
252,84,c21
165,172,c21
309,241,c21
144,293,c21
211,126,c22
176,173,c22
130,178,c22
301,241,c22
177,306,c22
348,400,c22
59,456,c22
311,134,c23
111,199,c23
135,237,c23
229,339,c23
300,389,c23
245,536,c23
151,514,c23
322,119,c24
309,69,c25
363,154,c26
151,169,c26
204,161,c26
130,251,c26
191,263,c26
221,373,c26
243,441,c26
356,493,c26
296,550,c26
210,546,c26
79,466,c26
345,136,c27
253,130,c26
195,97,c23
212,182,c27
235,206,c27
245,183,c26
273,239,c26
170,291,c27
133,302,c23
166,365,c27
302,313,c27
282,341,c27
260,374,c27
237,450,c27
326,465,c27
319,524,c27
53,440,c27
251,562,c27
347,155,c18
326,86,c19
326,134,c22
269,119,c18
172,90,c19
175,103,c18
73,242,c18
96,208,c19
157,207,c18
107,285,c17
129,288,c14
153,338,c18
187,335,c16
252,352,c18
250,302,c18
331,366,c16
346,463,c16
341,445,c17
289,502,c18
219,519,c20
151,501,c15
235,550,c12
260,552,c18
237,135,c18
186,154,c19
138,139,c27
174,185,c26
102,254,c27
209,229,c23
252,244,c19
245,242,c15
326,538,c20
338,527,c26
194,118,c2
112,163,c10
199,140,c7
266,229,c4
230,323,c8
268,422,c6
328,511,c6
258,540,c6
235,563,c6
255,195,c18
346,503,c12
270,531,c15
279,402,c12
